abraham:2025-06-18:0000,AAPL:$192.54:BUY:10
abraham:2025-06-18:0001,MSFT:$325.11:SELL:5
issac:2025-06-18:0000,TSLA:$670.0:BUY:8
abraham:2025-06-18:0002,GOOGL:$143.21:SELL:2
issac:2025-06-18:0001,AMZN:$3345.55:BUY:1
jacob:2025-06-18:0000,NFLX:$500.0:BUY:3
jacob:2025-06-18:0001,FB:$350.0:SELL:4
abraham:2025-06-18:0003,NVDA:$600.0:BUY:6
abraham:2025-06-18:0004,IBM:$140.25:BUY:7
issac:2025-06-18:0002,ORCL:$120.1:SELL:3
jacob:2025-06-18:0002,INTC:$45.6:BUY:12
abraham:2025-06-18:0005,AMD:$110.75:SELL:4
issac:2025-06-18:0003,BABA:$85.3:BUY:9
jacob:2025-06-18:0003,UBER:$45.9:SELL:6
abraham:2025-06-18:0006,DIS:$95.8:BUY:5
issac:2025-06-18:0004,PYPL:$70.4:SELL:2
jacob:2025-06-18:0004,ADBE:$510.0:BUY:1
abraham:2025-06-18:0007,CRM:$220.5:SELL:3